7227.FBpp0070001	7227.FBpp0071952
7227.FBpp0070002	7227.FBpp0304325
7227.FBpp0070002	7227.FBpp0075876
7227.FBpp0070002	7227.FBpp0091119
7227.FBpp0070005	7227.FBpp0084838
7227.FBpp0070006	7227.FBpp0079472
7227.FBpp0070006	7227.FBpp0071533
7227.FBpp0070006	7227.FBpp0073988
7227.FBpp0070007	7227.FBpp0080045
7227.FBpp0070007	7227.FBpp0083880
7227.FBpp0070007	7227.FBpp0311619
7227.FBpp0070028	7227.FBpp0078269
7227.FBpp0070028	7227.FBpp0085645
7227.FBpp0070031	7227.FBpp0077189
7227.FBpp0070034	7227.FBpp0071883
7227.FBpp0070037	7227.FBpp0309623
7227.FBpp0070037	7227.FBpp0112469
7227.FBpp0070037	7227.FBpp0110406
7227.FBpp0070037	7227.FBpp0089032
7227.FBpp0070037	7227.FBpp0071475
7227.FBpp0070037	7227.FBpp0305317
7227.FBpp0070044	7227.FBpp0070299
7227.FBpp0070044	7227.FBpp0071102
7227.FBpp0070045	7227.FBpp0081548
7227.FBpp0070045	7227.FBpp0077473
7227.FBpp0070045	7227.FBpp0075124
7227.FBpp0070045	7227.FBpp0084899
7227.FBpp0070045	7227.FBpp0310509
7227.FBpp0070045	7227.FBpp0083891
7227.FBpp0070045	7227.FBpp0077079
7227.FBpp0070045	7227.FBpp0076695
7227.FBpp0070045	7227.FBpp0079203
7227.FBpp0070045	7227.FBpp0083413
7227.FBpp0070045	7227.FBpp0083022
7227.FBpp0070045	7227.FBpp0073036
7227.FBpp0070045	7227.FBpp0081459
7227.FBpp0070045	7227.FBpp0303212
7227.FBpp0070045	7227.FBpp0084210
7227.FBpp0070045	7227.FBpp0304386
7227.FBpp0070045	7227.FBpp0087203
7227.FBpp0070045	7227.FBpp0078008
7227.FBpp0070045	7227.FBpp0071973
7227.FBpp0070045	7227.FBpp0303585
7227.FBpp0070045	7227.FBpp0080747
7227.FBpp0070045	7227.FBpp0070259
7227.FBpp0070045	7227.FBpp0072503
7227.FBpp0070049	7227.FBpp0070051
7227.FBpp0070049	7227.FBpp0073301
7227.FBpp0070049	7227.FBpp0070060
7227.FBpp0070051	7227.FBpp0293066
7227.FBpp0070051	7227.FBpp0070060
7227.FBpp0070051	7227.FBpp0074881
7227.FBpp0070054	7227.FBpp0083458
7227.FBpp0070054	7227.FBpp0074881
7227.FBpp0070054	7227.FBpp0087035
7227.FBpp0070054	7227.FBpp0293066
7227.FBpp0070056	7227.FBpp0073301
7227.FBpp0070060	7227.FBpp0083050
7227.FBpp0070060	7227.FBpp0288666
7227.FBpp0070060	7227.FBpp0084785
7227.FBpp0070060	7227.FBpp0080551
7227.FBpp0070060	7227.FBpp0074831
7227.FBpp0070060	7227.FBpp0071526
7227.FBpp0070064	7227.FBpp0074905
7227.FBpp0070064	7227.FBpp0084157
7227.FBpp0070064	7227.FBpp0075935
7227.FBpp0070064	7227.FBpp0289862
7227.FBpp0070064	7227.FBpp0075386
7227.FBpp0070064	7227.FBpp0305606
7227.FBpp0070064	7227.FBpp0086703
7227.FBpp0070064	7227.FBpp0099901
7227.FBpp0070064	7227.FBpp0074426
7227.FBpp0070064	7227.FBpp0306677
7227.FBpp0070064	7227.FBpp0311241
7227.FBpp0070068	7227.FBpp0078069
7227.FBpp0070068	7227.FBpp0086235
7227.FBpp0070068	7227.FBpp0082377
7227.FBpp0070068	7227.FBpp0081105
7227.FBpp0070068	7227.FBpp0289555
7227.FBpp0070068	7227.FBpp0081106
7227.FBpp0070068	7227.FBpp0086610
7227.FBpp0070068	7227.FBpp0086775
7227.FBpp0070068	7227.FBpp0310564
7227.FBpp0070068	7227.FBpp0071021
7227.FBpp0070068	7227.FBpp0073301
7227.FBpp0070069	7227.FBpp0078441
7227.FBpp0070069	7227.FBpp0087602
7227.FBpp0070070	7227.FBpp0301708
7227.FBpp0070070	7227.FBpp0083478
7227.FBpp0070071	7227.FBpp0075596
7227.FBpp0070071	7227.FBpp0081318
7227.FBpp0070071	7227.FBpp0084335
7227.FBpp0070071	7227.FBpp0070073
7227.FBpp0070071	7227.FBpp0072477
7227.FBpp0070071	7227.FBpp0070072
7227.FBpp0070071	7227.FBpp0423185
7227.FBpp0070072	7227.FBpp0423185
7227.FBpp0070072	7227.FBpp0072477
7227.FBpp0070072	7227.FBpp0303712
7227.FBpp0070072	7227.FBpp0073317
7227.FBpp0070072	7227.FBpp0070073
7227.FBpp0070072	7227.FBpp0084335
7227.FBpp0070072	7227.FBpp0080631
7227.FBpp0070072	7227.FBpp0084329
7227.FBpp0070072	7227.FBpp0084334
7227.FBpp0070072	7227.FBpp0075596
7227.FBpp0070072	7227.FBpp0081318
7227.FBpp0070072	7227.FBpp0079060
7227.FBpp0070073	7227.FBpp0423185
7227.FBpp0070073	7227.FBpp0075374
7227.FBpp0070073	7227.FBpp0076101
7227.FBpp0070074	7227.FBpp0071490
7227.FBpp0070074	7227.FBpp0080299
7227.FBpp0070074	7227.FBpp0072647
7227.FBpp0070074	7227.FBpp0087879
7227.FBpp0070074	7227.FBpp0303235
7227.FBpp0070083	7227.FBpp0289058
7227.FBpp0070083	7227.FBpp0071270
7227.FBpp0070083	7227.FBpp0076418
7227.FBpp0070083	7227.FBpp0076270
7227.FBpp0070083	7227.FBpp0307951
7227.FBpp0070083	7227.FBpp0310703
7227.FBpp0070083	7227.FBpp0307956
7227.FBpp0070083	7227.FBpp0087939
